"COMPANY","PRICE","CHANGE_VALUE","CHANGE_DIFF","OPEN","HIGH","LOW"
"AMLAK
1182","13.9","0.98","7.59","12.92","14.04","12.84"
"SHL
1183","16.96","0.76","4.7","16.16","17.04","16.16"
"SAIC
2120","36.9","0.0","0.0","37.05","37.3","36.8"
"NAYIFAT
4081","15.62","0.28","1.83","15.34","15.86","15.14"
"MRNA
4082","11.36","0.44","4.04","10.98","11.42","10.88"
"ALBAHA
4130","0.17","-0.01","-5.56","0.17","0.18","0.17"
"KINGDOM
4280","9.38","0.01","0.11","9.33","9.46","9.23"
"TAWUNIYA
8010","151.8","-0.8","-0.52","152.8","155.8","151.0"
"JAZIRA TAKAFUL
8012","17.52","0.18","1.04","17.36","17.6","17.32"
"MALATH INSURANCE
8020","16.58","0.26","1.59","16.54","16.68","16.38"
"MEDGULF
8030","26.0","-0.05","-0.19","25.9","26.3","25.85"
"ALLIANZ SF
8040","16.96","0.42","2.54","16.6","17.26","16.6"
"SALAMA
8050","27.15","0.65","2.46","26.9","27.3","26.55"
"WALAA
8060","22.84","0.24","1.06","22.86","22.96","22.52"
"ARABIAN SHIELD
8070","20.98","0.2","0.97","20.74","21.04","20.7"
"SAICO
8100","18.66","1.28","7.36","17.5","19.0","17.5"
"GULF UNION ALAHLIA
8120","16.26","0.54","3.44","15.74","16.26","15.74"
"ACIG
8150","15.84","0.24","1.54","15.78","15.98","15.74"
"AICC
8160","14.6","0.18","1.25","14.46","14.62","14.38"
"ALETIHAD
8170","19.44","0.06","0.31","19.3","19.78","19.26"
"ALSAGR INSURANCE
8180","20.3","0.1","0.5","20.24","20.52","20.1"
"UCA
8190","11.3","0.08","0.72","11.1","11.36","11.06"
"SAUDI RE
8200","36.75","-0.5","-1.36","37.0","37.2","36.3"
"BUPA ARABIA
8210","222.0","-0.4","-0.18","222.4","224.6","221.6"
"ALRAJHI TAKAFUL
8230","193.8","0.4","0.21","193.4","195.0","192.8"
"CHUBB
8240","42.1","0.1","0.24","41.8","42.75","41.5"
"GIG
8250","33.55","0.5","1.52","33.15","33.65","32.85"
"GULF GENERAL
8260","12.56","0.24","1.95","12.5","12.62","12.4"
"BURUJ
8270","22.14","0.24","1.1","21.7","22.68","21.7"
"LIVA
8280","18.22","0.28","1.56","18.0","18.24","17.94"
"WATANIYA
8300","29.7","0.2","0.68","29.5","29.95","29.5"
"AMANA INSURANCE
8310","12.82","0.06","0.47","12.8","13.06","12.64"
"ENAYA
8311","18.0","0.26","1.47","17.76","18.46","17.68"
"RASAN
8313","58.0","0.6","1.05","58.3","58.8","57.2"
"MIS
7200","193.0","-0.2","-0.1","192.2","193.4","190.8"
"ARAB SEA
7201","6.46","-0.02","-0.31","6.5","6.53","6.46"
"SOLUTIONS
7202","280.0","1.8","0.65","281.0","281.0","279.2"
"ELM
7203","1005.2","3.0","0.3","1008.0","1016.0","1003.0"
"2P
7204","15.38","-0.1","-0.65","15.54","15.6","15.3"
"STC
7010","42.3","0.0","0.0","42.45","42.45","42.0"
"ETIHAD ETISALAT
7020","51.0","0.9","1.8","50.5","51.1","50.2"
"ZAIN KSA
7030","10.74","0.04","0.37","10.74","10.8","10.7"
"ATHEEB TELECOM
7040","86.1","2.0","2.38","87.9","88.8","86.1"
"GASCO
2080","107.0","-1.2","-1.12","108.0","108.0","106.4"
"AWPT
2081","166.2","-0.4","-0.24","169.0","170.6","165.6"
"ACWA POWER
2082","394.2","8.4","2.18","385.8","394.2","384.6"
"MARAFIQ
2083","59.8","0.0","0.0","59.7","60.4","59.6"
"MIAHONA
2084","29.35","-0.3","-1.01","30.0","30.0","29.3"
"SAUDI ELECTRICITY
5110","16.74","0.06","0.36","16.72","16.86","16.68"
"RIYAD REIT
4330","6.98","0.14","2.05","6.89","6.98","6.84"
"ALJAZIRA REIT
4331","17.14","-0.02","-0.12","17.0","17.2","17.0"
"JADWA REIT ALHARAMAIN
4332","6.11","0.02","0.33","6.08","6.11","6.06"
"TALEEM REIT
4333","10.98","-0.04","-0.36","11.02","11.04","10.94"
"AL MAATHER REIT
4334","8.84","-0.01","-0.11","8.81","8.85","8.8"
"MUSHARAKA REIT
4335","5.02","0.02","0.4","4.98","5.01","4.98"
"MULKIA REIT
4336","5.52","-0.02","-0.36","5.55","5.57","5.51"
"SICO SAUDI REIT
4337","4.21","0.03","0.72","4.2","4.24","4.17"
"ALAHLI REIT 1
4338","7.58","0.01","0.13","7.57","7.66","7.56"
"DERAYAH REIT
4339","6.35","0.03","0.47","6.32","6.37","6.31"
"Al RAJHI REIT
4340","8.35","0.02","0.24","8.3","8.36","8.29"
"JADWA REIT SAUDI
4342","11.2","0.12","1.08","11.16","11.26","11.1"
"SEDCO CAPITAL REIT
4344","7.76","-0.06","-0.77","7.82","7.87","7.75"
"ALINMA RETAIL REIT
4345","4.91","0.02","0.41","4.89","4.97","4.85"
"MEFIC REIT
4346","4.36","-0.01","-0.23","4.33","4.37","4.33"
"BONYAN REIT
4347","9.57","-0.11","-1.14","9.63","9.63","9.5"
"ALKHABEER REIT
4348","6.0","0.0","0.0","6.0","6.01","5.98"
"ALINMA HOSPITALITY REIT
4349","8.46","-0.02","-0.24","8.45","8.49","8.4"
"ALISTITHMAR REIT
4350","9.36","-0.04","-0.43","9.35","9.4","9.31"
"ALAKARIA
4020","24.28","-0.1","-0.41","24.36","24.98","24.2"
"TAIBA
4090","44.35","-0.05","-0.11","44.4","44.4","44.25"
"MCDC
4100","111.0","-0.8","-0.72","111.0","112.0","110.2"
"ARDCO
4150","25.2","-0.45","-1.76","25.5","25.7","25.05"
"EMAAR EC
4220","9.17","0.12","1.33","9.0","9.21","8.85"
"RED SEA
4230","48.9","-0.2","-0.41","49.3","50.6","48.5"
"JABAL OMAR
4250","24.12","-0.26","-1.07","24.4","24.6","24.08"
"DAR ALARKAN
4300","14.2","0.24","1.72","13.96","14.2","13.84"
"KEC
4310","15.06","0.06","0.4","15.02","15.12","15.0"
"ALANDALUS
4320","23.8","0.2","0.85","23.52","23.9","23.42"
"CENOMI CENTERS
4321","21.24","-0.02","-0.09","21.26","21.3","21.14"
"RETAL
4322","13.8","0.22","1.62","13.72","13.86","13.62"
"SUMOU
4323","41.4","0.15","0.36","41.45","41.85","41.2"
